country position,Hazard,starttime,endtime,Intensity
1886,coldwave,2016-01-21,2016-01-31,248.0
1886,heatwave,2007-03-27,2007-04-04,299.0
1886,coldwave,2007-12-24,2008-02-25,246.0
1886,extreme wind,2005-02-12,2005-02-21,20.0
1886,wildfire,2010-02-23,2010-03-06,5.678411787080649
1886,extreme wind,2010-02-28,2010-03-07,18.0
1886,heatwave,2013-02-05,2013-03-09,302.0
1886,extreme wind,2013-04-04,2013-04-06,17.0
1886,heatwave,2010-01-28,2010-02-16,302.0
1886,extreme wind,2005-02-22,2005-02-23,20.0
1886,extreme wind,2013-02-13,2013-02-18,17.0
1886,flood,2007-06-06,2007-08-17,1.5
1886,coldwave,2011-03-17,2011-04-29,266.0
1886,extreme wind,2015-04-17,2015-04-19,22.0
1886,extreme wind,2015-02-23,2015-03-05,21.0
1886,wildfire,2009-02-20,2009-03-04,7.202854161865962
