countryid,value
374,292211.0259747562
2294,195615.24342703473
352,61690.74466767342
407,364543.67885678285
361,1069109.08053497
399,13925.997624820617
2284,679710.9821344204
2289,178787.922027676
2292,74258.83717179281
339,104157.27971190584
287,740883.4383829519
409,497422.0358651948
444,96561.42444602087
340,153900.32020569744
108,191631.6948136879
331,112396.25753235629
390,137386.0481181664
383,424703.6977863584
357,6573819.181091597
435,593431.236232392
355,25184.463796910564
125,338522.9843464445
371,765697.6487505106
372,362865.0662327538
440,387068.18544226995
445,159908.13441011086
345,190574.30917935315
109,175932.58787270222
406,809645.3482700418
373,247901.4474302641
2299,250846.8217638107
2147,152633.50577705112
354,563228.2381507562
275,1534817.0135255875
344,123829.32744534589
124,369344.8556852164
288,529722.1471120806
386,615415.2573039479
434,100311.37111756697
443,23242.663280707387
2297,276184.67633949744
384,427351.4461346612
358,516309.4582127908
2286,119174.62082221918
2143,195293.35014994445
405,235200.92238772506
110,145971.2306745003
107,329425.33941361087
408,432804.9135660457
368,383336.77437347086
395,687120.3445588606
375,836697.083973466
376,315020.85914924403
377,311577.914408483
439,174729.88025899557
2304,52040.90491227455
2296,346961.9565496309
277,151328.0505292076
341,223698.3102105999
117,215678.65862610997
120,727635.934892615
410,561113.0729180503
385,730864.7724649571
398,430741.4040851466
394,752101.7696987619
2287,46628.949390242364
274,125305.20402211545
122,498781.4873900552
393,171925.56220635035
2293,788607.7495174787
353,224642.46501480284
347,479435.61557664006
348,219320.79685808023
350,180911.41910598925
338,125121.06335361801
343,446400.1297238736
118,87777.89747307949
123,510032.93291539064
411,657423.4870621862
382,790710.0898461186
396,19850.627389644527
367,1708563.2352284002
269,1012123.299941229
119,63252.61121937847
413,539325.8704199222
397,1143521.9238825461
370,1664837.5836580493
381,572086.4441104998
379,431371.21820429625
114,388399.939131214
5,375689.2500407226
2301,78062.58393231592
2141,128905.89244317084
2144,111529.61582539712
349,108541.60640421622
270,1254058.4968332322
105,190501.72409847964
389,596927.7780004035
2300,313901.65152122703
303,289085.443524086
276,296570.1778232129
342,186782.8642329156
106,721259.7614433151
7,321158.1166694031
414,916734.7789332129
369,483947.979758343
2302,249653.48880974273
272,179537.9168179706
337,201408.2762225731
170,209112.07487013435
113,509471.49120627565
6,472703.9311971543
121,374776.903304038
126,250807.6078300744
387,255258.8472271579
2305,138926.04822086805
44,506513.5960314165
299,940003.1045628068
271,120517.76718732885
169,331909.4456073198
115,311901.3892682268
412,579760.9157152135
388,906265.9553564101
168,1658815.3714685037
116,430538.4970087412
37,394147.3137876382
2288,77213.49012646795
300,484363.4091710364
199,156094.62200044125
112,153002.47368150792
2,972603.2717207031
4,273818.7766709815
40,649707.7760441113
378,66020.92610998891
2316,459837.30535543815
302,210876.02361816666
174,161439.5139918138
175,159134.91591649142
111,416740.375729251
1,16292653.140323922
13,801204.7350835627
42,647071.7797856564
46,427143.2527824521
273,86044.57179709672
47,301390.36693747813
43,482047.03373186896
364,1069799.9632944574
366,820491.7416266778
380,1111007.0917864826
2142,338766.1267654399
298,487850.7621681548
151,315662.36434184783
38,652965.1150626154
33,1565660.0068911433
34,593535.753128864
2315,326986.7342675084
2128,190793.7832792475
2152,118967.13158071012
196,764855.6950374367
200,402362.08613202244
171,209689.42294373448
85,322208.0750274411
149,185048.35953113265
365,566155.0753254333
2146,10421.17439034175
2149,395671.80656042875
279,200165.18994697538
305,359615.9610593104
173,313812.2701296439
3,3184468.5133771016
146,513284.02775113145
10,764141.5099183496
32,909229.22400709
45,557559.2491554563
2151,102355.41449060592
197,230610.92470752491
198,325363.6854943239
2307,1018313.8676321579
2319,685241.6252900321
237,57157.64958814315
172,236107.87913820567
92,266233.4048513868
143,1087517.4603867938
9,961711.5174813062
11,419095.0347922021
41,719590.7178020402
35,727860.2994226549
2306,35003.149901298406
2321,242203.93811979622
2322,174289.3494871377
2323,278706.0673118981
2324,38735.280035869575
2097,384787.74482509476
95,682932.7135723596
101,589575.1426859857
144,468792.1367492087
36,496683.70080670447
2303,310374.4177527188
2308,354206.784783024
2148,431634.09977201076
2155,221110.91398719169
304,140183.293196243
2096,497250.1461543711
235,91623.13877525594
232,103094.3409534742
229,217198.03984650914
145,364326.6267490895
39,283396.3647420136
2314,197391.9573381095
2313,257558.56941018076
2239,57047.88649522605
2248,38089.43295056458
2251,187092.60690980233
228,266974.95380656
88,736817.0871302686
104,243289.9206596941
8,9718767.21210721
362,3024631.076237443
363,4255.053715701564
2241,83957.87096414002
233,87262.68321479722
150,508074.1351672748
2244,39097.2174020788
2249,544333.1508510989
2250,28445.915123883664
236,103650.7601423599
230,199233.72854090054
238,425045.29305285617
86,219670.79350556651
89,467841.05999457295
98,412149.9522195537
